group,year,total,level,attainment,count
"25 Years and Over, Both Sexes",1966,103876,Elementary: 0 to 4 years,Less than High School,6705
"25 Years and Over, Both Sexes",1966,103876,Elementary: 5 to 8 years,Less than High School,26478
"25 Years and Over, Both Sexes",1966,103876,High School: 1 to 3 years,Less than High School,18859
"25 Years and Over, Both Sexes",1966,103876,High School: 4 years,High School,32391
"25 Years and Over, Both Sexes",1966,103876,College: 1 to 3 years,Some College,9235
"25 Years and Over, Both Sexes",1966,103876,College: 4 years or more,College Degree,10212
"25 Years and Over, Both Sexes",1965,103245,Elementary: 0 to 4 years,Less than High School,6982
"25 Years and Over, Both Sexes",1965,103245,Elementary: 5 to 8 years,Less than High School,27063
"25 Years and Over, Both Sexes",1965,103245,High School: 1 to 3 years,Less than High School,18617
"25 Years and Over, Both Sexes",1965,103245,High School: 4 years,High School,31703
"25 Years and Over, Both Sexes",1965,103245,College: 1 to 3 years,Some College,9139
"25 Years and Over, Both Sexes",1965,103245,College: 4 years or more,College Degree,9742
"25 Years and Over, Both Sexes",1964,102421,Elementary: 0 to 4 years,Less than High School,7295
"25 Years and Over, Both Sexes",1964,102421,Elementary: 5 to 8 years,Less than High School,27551
"25 Years and Over, Both Sexes",1964,102421,High School: 1 to 3 years,Less than High School,18419
"25 Years and Over, Both Sexes",1964,102421,High School: 4 years,High School,30728
"25 Years and Over, Both Sexes",1964,102421,College: 1 to 3 years,Some College,9085
"25 Years and Over, Both Sexes",1964,102421,College: 4 years or more,College Degree,9345
"25 Years and Over, Both Sexes",1962,100664,Elementary: 0 to 4 years,Less than High School,7826
"25 Years and Over, Both Sexes",1962,100664,Elementary: 5 to 8 years,Less than High School,28438
"25 Years and Over, Both Sexes",1962,100664,High School: 1 to 3 years,Less than High School,17751
"25 Years and Over, Both Sexes",1962,100664,High School: 4 years,High School,28477
"25 Years and Over, Both Sexes",1962,100664,College: 1 to 3 years,Some College,9170
"25 Years and Over, Both Sexes",1962,100664,College: 4 years or more,College Degree,9002
"25 Years and Over, Both Sexes",1960,99465,Elementary: 0 to 4 years,Less than High School,8303
"25 Years and Over, Both Sexes",1960,99465,Elementary: 5 to 8 years,Less than High School,31218
"25 Years and Over, Both Sexes",1960,99465,High School: 1 to 3 years,Less than High School,19140
"25 Years and Over, Both Sexes",1960,99465,High School: 4 years,High School,24440
"25 Years and Over, Both Sexes",1960,99465,College: 1 to 3 years,Some College,8747
"25 Years and Over, Both Sexes",1960,99465,College: 4 years or more,College Degree,7617
"25 Years and Over, Both Sexes",1959,97478,Elementary: 0 to 4 years,Less than High School,7816
"25 Years and Over, Both Sexes",1959,97478,Elementary: 5 to 8 years,Less than High School,28490
"25 Years and Over, Both Sexes",1959,97478,High School: 1 to 3 years,Less than High School,17520
"25 Years and Over, Both Sexes",1959,97478,High School: 4 years,High School,26219
"25 Years and Over, Both Sexes",1959,97478,College: 1 to 3 years,Some College,7888
"25 Years and Over, Both Sexes",1959,97478,College: 4 years or more,College Degree,7734
"25 Years and Over, Both Sexes",1957,95630,Elementary: 0 to 4 years,Less than High School,8561
"25 Years and Over, Both Sexes",1957,95630,Elementary: 5 to 8 years,Less than High School,29316
"25 Years and Over, Both Sexes",1957,95630,High School: 1 to 3 years,Less than High School,16951
"25 Years and Over, Both Sexes",1957,95630,High School: 4 years,High School,24832
"25 Years and Over, Both Sexes",1957,95630,College: 1 to 3 years,Some College,6985
"25 Years and Over, Both Sexes",1957,95630,College: 4 years or more,College Degree,7172
"25 Years and Over, Both Sexes",1952,88358,Elementary: 0 to 4 years,Less than High School,8004
"25 Years and Over, Both Sexes",1952,88358,Elementary: 5 to 8 years,Less than High School,30274
"25 Years and Over, Both Sexes",1952,88358,High School: 1 to 3 years,Less than High School,15228
"25 Years and Over, Both Sexes",1952,88358,High School: 4 years,High School,21074
"25 Years and Over, Both Sexes",1952,88358,College: 1 to 3 years,Some College,6714
"25 Years and Over, Both Sexes",1952,88358,College: 4 years or more,College Degree,6118
"25 Years and Over, Both Sexes",1950,87484,Elementary: 0 to 4 years,Less than High School,9491
"25 Years and Over, Both Sexes",1950,87484,Elementary: 5 to 8 years,Less than High School,31617
"25 Years and Over, Both Sexes",1950,87484,High School: 1 to 3 years,Less than High School,14817
"25 Years and Over, Both Sexes",1950,87484,High School: 4 years,High School,17625
"25 Years and Over, Both Sexes",1950,87484,College: 1 to 3 years,Some College,6246
"25 Years and Over, Both Sexes",1950,87484,College: 4 years or more,College Degree,5272
"25 Years and Over, Both Sexes",1947,82578,Elementary: 0 to 4 years,Less than High School,8611
"25 Years and Over, Both Sexes",1947,82578,Elementary: 5 to 8 years,Less than High School,32308
"25 Years and Over, Both Sexes",1947,82578,High School: 1 to 3 years,Less than High School,13487
"25 Years and Over, Both Sexes",1947,82578,High School: 4 years,High School,16926
"25 Years and Over, Both Sexes",1947,82578,College: 1 to 3 years,Some College,5533
"25 Years and Over, Both Sexes",1947,82578,College: 4 years or more,College Degree,4424
"25 Years and Over, Both Sexes",1940,74776,Elementary: 0 to 4 years,Less than High School,10105
"25 Years and Over, Both Sexes",1940,74776,Elementary: 5 to 8 years,Less than High School,34413
"25 Years and Over, Both Sexes",1940,74776,High School: 1 to 3 years,Less than High School,11182
"25 Years and Over, Both Sexes",1940,74776,High School: 4 years,High School,10552
"25 Years and Over, Both Sexes",1940,74776,College: 1 to 3 years,Some College,4075
"25 Years and Over, Both Sexes",1940,74776,College: 4 years or more,College Degree,3407
"25 Years and Over, Male",2022,109979,Elementary: 0 to 4 years,Less than High School,1151
"25 Years and Over, Male",2022,109979,Elementary: 5 to 8 years,Less than High School,2890
"25 Years and Over, Male",2022,109979,High School: 1 to 3 years,Less than High School,6303
"25 Years and Over, Male",2022,109979,High School: 4 years,High School,33081
"25 Years and Over, Male",2022,109979,College: 1 to 3 years,Some College,26701
"25 Years and Over, Male",2022,109979,College: 4 years or more,College Degree,39853
"25 Years and Over, Male",2021,108327,Elementary: 0 to 4 years,Less than High School,1084
"25 Years and Over, Male",2021,108327,Elementary: 5 to 8 years,Less than High School,2924
"25 Years and Over, Male",2021,108327,High School: 1 to 3 years,Less than High School,6274
"25 Years and Over, Male",2021,108327,High School: 4 years,High School,31855
"25 Years and Over, Male",2021,108327,College: 1 to 3 years,Some College,26595
"25 Years and Over, Male",2021,108327,College: 4 years or more,College Degree,39595
"25 Years and Over, Male",2020,107517,Elementary: 0 to 4 years,Less than High School,1053
"25 Years and Over, Male",2020,107517,Elementary: 5 to 8 years,Less than High School,2854
"25 Years and Over, Male",2020,107517,High School: 1 to 3 years,Less than High School,6250
"25 Years and Over, Male",2020,107517,High School: 4 years,High School,31355
"25 Years and Over, Male",2020,107517,College: 1 to 3 years,Some College,26580
"25 Years and Over, Male",2020,107517,College: 4 years or more,College Degree,39426
"25 Years and Over, Male",2019,106695,Elementary: 0 to 4 years,Less than High School,1082
"25 Years and Over, Male",2019,106695,Elementary: 5 to 8 years,Less than High School,3230
"25 Years and Over, Male",2019,106695,High School: 1 to 3 years,Less than High School,6792
"25 Years and Over, Male",2019,106695,High School: 4 years,High School,31257
"25 Years and Over, Male",2019,106695,College: 1 to 3 years,Some College,26527
"25 Years and Over, Male",2019,106695,College: 4 years or more,College Degree,37807
"25 Years and Over, Male",2018,105862,Elementary: 0 to 4 years,Less than High School,973
"25 Years and Over, Male",2018,105862,Elementary: 5 to 8 years,Less than High School,3284
"25 Years and Over, Male",2018,105862,High School: 1 to 3 years,Less than High School,6939
"25 Years and Over, Male",2018,105862,High School: 4 years,High School,31325
"25 Years and Over, Male",2018,105862,College: 1 to 3 years,Some College,26668
"25 Years and Over, Male",2018,105862,College: 4 years or more,College Degree,36674
"25 Years and Over, Male",2017,104324,Elementary: 0 to 4 years,Less than High School,1090
"25 Years and Over, Male",2017,104324,Elementary: 5 to 8 years,Less than High School,3312
"25 Years and Over, Male",2017,104324,High School: 1 to 3 years,Less than High School,6934
"25 Years and Over, Male",2017,104324,High School: 4 years,High School,31296
"25 Years and Over, Male",2017,104324,College: 1 to 3 years,Some College,26581
"25 Years and Over, Male",2017,104324,College: 4 years or more,College Degree,35112
"25 Years and Over, Male",2016,103372,Elementary: 0 to 4 years,Less than High School,1183
"25 Years and Over, Male",2016,103372,Elementary: 5 to 8 years,Less than High School,3513
"25 Years and Over, Male",2016,103372,High School: 1 to 3 years,Less than High School,7144
"25 Years and Over, Male",2016,103372,High School: 4 years,High School,30780
"25 Years and Over, Male",2016,103372,College: 1 to 3 years,Some College,26468
"25 Years and Over, Male",2016,103372,College: 4 years or more,College Degree,34283
"25 Years and Over, Male",2015,101887,Elementary: 0 to 4 years,Less than High School,1243
"25 Years and Over, Male",2015,101887,Elementary: 5 to 8 years,Less than High School,3669
"25 Years and Over, Male",2015,101887,High School: 1 to 3 years,Less than High School,7278
"25 Years and Over, Male",2015,101887,High School: 4 years,High School,30997
"25 Years and Over, Male",2015,101887,College: 1 to 3 years,Some College,25778
"25 Years and Over, Male",2015,101887,College: 4 years or more,College Degree,32923
"25 Years and Over, Male",2014,100592,Elementary: 0 to 4 years,Less than High School,1184
"25 Years and Over, Male",2014,100592,Elementary: 5 to 8 years,Less than High School,3761
"25 Years and Over, Male",2014,100592,High School: 1 to 3 years,Less than High School,7403
"25 Years and Over, Male",2014,100592,High School: 4 years,High School,30718
"25 Years and Over, Male",2014,100592,College: 1 to 3 years,Some College,25430
"25 Years and Over, Male",2014,100592,College: 4 years or more,College Degree,32095
"25 Years and Over, Male",2013,99305,Elementary: 0 to 4 years,Less than High School,1127
"25 Years and Over, Male",2013,99305,Elementary: 5 to 8 years,Less than High School,3836
"25 Years and Over, Male",2013,99305,High School: 1 to 3 years,Less than High School,7314
"25 Years and Over, Male",2013,99305,High School: 4 years,High School,30014
"25 Years and Over, Male",2013,99305,College: 1 to 3 years,Some College,25283
"25 Years and Over, Male",2013,99305,College: 4 years or more,College Degree,31731
"25 Years and Over, Male",2012,98119,Elementary: 0 to 4 years,Less than High School,1237
"25 Years and Over, Male",2012,98119,Elementary: 5 to 8 years,Less than High School,3879
"25 Years and Over, Male",2012,98119,High School: 1 to 3 years,Less than High School,7388
"25 Years and Over, Male",2012,98119,High School: 4 years,High School,30216
"25 Years and Over, Male",2012,98119,College: 1 to 3 years,Some College,24632
"25 Years and Over, Male",2012,98119,College: 4 years or more,College Degree,30766
"25 Years and Over, Male",2011,97220,Elementary: 0 to 4 years,Less than High School,1234
"25 Years and Over, Male",2011,97220,Elementary: 5 to 8 years,Less than High School,3883
"25 Years and Over, Male",2011,97220,High School: 1 to 3 years,Less than High School,7443
"25 Years and Over, Male",2011,97220,High School: 4 years,High School,30370
"25 Years and Over, Male",2011,97220,College: 1 to 3 years,Some College,24319
"25 Years and Over, Male",2011,97220,College: 4 years or more,College Degree,29971
"25 Years and Over, Male",2010,96325,Elementary: 0 to 4 years,Less than High School,1279
"25 Years and Over, Male",2010,96325,Elementary: 5 to 8 years,Less than High School,3931
"25 Years and Over, Male",2010,96325,High School: 1 to 3 years,Less than High School,7705
"25 Years and Over, Male",2010,96325,High School: 4 years,High School,30682
"25 Years and Over, Male",2010,96325,College: 1 to 3 years,Some College,23570
"25 Years and Over, Male",2010,96325,College: 4 years or more,College Degree,29158
"25 Years and Over, Male",2009,95518,Elementary: 0 to 4 years,Less than High School,1372
"25 Years and Over, Male",2009,95518,Elementary: 5 to 8 years,Less than High School,4027
"25 Years and Over, Male",2009,95518,High School: 1 to 3 years,Less than High School,7754
"25 Years and Over, Male",2009,95518,High School: 4 years,High School,30025
"25 Years and Over, Male",2009,95518,College: 1 to 3 years,Some College,23634
"25 Years and Over, Male",2009,95518,College: 4 years or more,College Degree,28706
"25 Years and Over, Male",2008,94470,Elementary: 0 to 4 years,Less than High School,1310
"25 Years and Over, Male",2008,94470,Elementary: 5 to 8 years,Less than High School,4136
"25 Years and Over, Male",2008,94470,High School: 1 to 3 years,Less than High School,7853
"25 Years and Over, Male",2008,94470,High School: 4 years,High School,29491
"25 Years and Over, Male",2008,94470,College: 1 to 3 years,Some College,23247
"25 Years and Over, Male",2008,94470,College: 4 years or more,College Degree,28433
"25 Years and Over, Male",2007,93421,Elementary: 0 to 4 years,Less than High School,1458
"25 Years and Over, Male",2007,93421,Elementary: 5 to 8 years,Less than High School,4249
"25 Years and Over, Male",2007,93421,High School: 1 to 3 years,Less than High School,8294
"25 Years and Over, Male",2007,93421,High School: 4 years,High School,29604
"25 Years and Over, Male",2007,93421,College: 1 to 3 years,Some College,22219
"25 Years and Over, Male",2007,93421,College: 4 years or more,College Degree,27596
"25 Years and Over, Male",2006,92233,Elementary: 0 to 4 years,Less than High School,1472
"25 Years and Over, Male",2006,92233,Elementary: 5 to 8 years,Less than High School,4395
